N_out,P_low,P_upp
0,0.9057111203215853,1.0
1,0.8818763798960595,0.9999994999876246
2,0.861776203530257,0.9998991647423046
3,0.8435744132023704,0.9993124286389797
4,0.8265936435305778,0.9980379557180687
5,0.8104915686758718,0.9960987948772306
6,0.7950656865413689,0.9935760049339187
7,0.7801840531853134,0.9905505636755282
8,0.7657548436232242,0.9870910255606179
9,0.7517110142387293,0.98325314405127
10,0.7380017943462963,0.9790820034365972
11,0.7245876151010561,0.974614271011619
12,0.7114369137598104,0.9698800562388039
13,0.6985240277412197,0.9649043461487398
14,0.685827755038924,0.959708092992082
15,0.6733303395313563,0.9543090375166882
16,0.6610167369415788,0.948722336023585
17,0.6488740718227417,0.9429610424123117
18,0.6368912279811201,0.9370364826113714
19,0.6250585342420367,0.9309585485030418
20,0.6133675197099631,0.924735931037393
21,0.6018107205855674,0.9183763069390652
22,0.5903815258417668,0.9118864896331228
23,0.5790740526079011,0.905272552305544
24,0.5678830445605333,0.8985399290532645
25,0.5568037883412669,0.8916934986477758
26,0.5458320442521909,0.8847376543820116
27,0.5349639883715969,0.8776763626860362
28,0.5241961638882193,0.8705132126081752
29,0.5135254399401434,0.8632514578119848
30,0.5029489766117766,0.8558940523982961
31,0.492464195021706,0.8484436815985276
32,0.4820687516489628,0.8409027881810095
33,0.47176051621172754,0.833273595251909
34,0.46153755254277407,0.8255581260059579
35,0.4513981020086959,0.8177582208817386
36,0.4413405691016419,0.8098755524958936
37,0.43136350889769104,0.8019116386658681
38,0.4214656161287772,0.7938678537782844
39,0.4116457156579306,0.7857454387171994
40,0.4019027541826765,0.7775455095313005
41,0.3922357930203143,0.7692690649900132
42,0.38264400185277714,0.7609169931542779
43,0.37312665332880246,0.7524900770674745
44,0.36368311843804313,0.7439889996548412
45,0.3543128625861025,0.7354143479051437
46,0.34501544231181747,0.7267666163958224
47,0.3357905025988204,0.7180462102119483
48,0.32663777474283817,0.7092534472997467
49,0.31755707474459816,0.7003885602869055
50,0.3085483022058506,0.6914516977941481
51,0.29961143971309323,0.6824429252554007
52,0.2907465527002522,0.6733622252571605
53,0.2819537897880505,0.6642094974011783
54,0.27323338360417637,0.6549845576881814
55,0.2645856520948552,0.6456871374138964
56,0.25601100034515767,0.6363168815619556
57,0.24750992293252438,0.6268733466711962
58,0.23908300684572115,0.6173559981472216
59,0.23073093500998565,0.6077642069796845
60,0.22245449046869836,0.5980972458173222
61,0.21425456128279963,0.588354284342068
62,0.2061321462217146,0.5785343838712216
63,0.198088361334131,0.5686364911023076
64,0.1901244475041054,0.5586594308983569
65,0.18224177911826045,0.5486018979913028
66,0.1744418739940412,0.5384624474572246
67,0.16672640474809008,0.5282394837882711
68,0.1590972118189895,0.5179312483510359
69,0.15155631840147166,0.5075358049782925
70,0.14410594760170303,0.49705102338822205
71,0.13674854218801447,0.4864745600598551
72,0.12948678739182407,0.47580383611177923
73,0.1223236373139629,0.4650360116284018
74,0.11526234561798754,0.45416795574780766
75,0.10830650135222353,0.4431962116587318
76,0.10146007094673481,0.4321169554394654
77,0.09472744769445529,0.42092594739209754
78,0.08811351036687654,0.4096184741582318
79,0.0816236930609342,0.3981892794144313
80,0.07526406896260629,0.3866324802900355
81,0.06904145149695762,0.37494146575796194
82,0.06296351738862804,0.3631087720188786
83,0.05703895758768773,0.35112592817725696
84,0.051277663976414534,0.33898326305841986
85,0.04569096248331139,0.3266696604686423
86,0.040291907007917516,0.31417224496107465
87,0.03509565385125979,0.301475972258779
88,0.030119943761195644,0.2885630862401882
89,0.02538572898838065,0.2754123848989426
90,0.02091799656340243,0.26199820565370235
91,0.016746855948729822,0.24828898576126934
92,0.012908974439381993,0.23424515637677457
93,0.009449436324471594,0.21981594681468541
94,0.006423995066081156,0.2049343134586299
95,0.003901205122769258,0.18950843132412698
96,0.0019620442819311412,0.17340635646942093
97,0.0006875713610201561,0.15642558679762852
98,0.00010083525769544188,0.13822379646974192
99,5.000123753928776e-07,0.11812362010393951
100,0.0,0.0942888796784147
